Ticker,Underwriter,Name,Price,Date,Status,Link
"MMIX","YP - MIRAE ASSET SEKURITAS INDONESIA","PT Multi Medika Internasional Tbk (MMIX)",190,"06 Dec 2022","","https://www.e-ipo.co.id/id/ipo/160/mmix-pt-multi-medika-internasional-tbk"
"NINE","SA - ELIT SUKSES SEKURITAS","PT Techno9 Indonesia Tbk (NINE)",75,"05 Dec 2022","","https://www.e-ipo.co.id/id/ipo/156/nine-pt-techno9-indonesia-tbk"
"ZATA","AI - UOB KAY HIAN SEKURITAS","PT Bersama Zatta Jaya Tbk (ZATA)",100,"10 Nov 2022","","https://www.e-ipo.co.id/id/ipo/155/zata-pt-bersama-zatta-jaya-tbk"
"KETR","AH - SHINHAN SEKURITAS INDONESIA","PT Ketrosden Triasmitra Tbk (KETR)",300,"10 Nov 2022","","https://www.e-ipo.co.id/id/ipo/153/ketr-pt-ketrosden-triasmitra-tbk"
"KDTN","MI - VICTORIA SEKURITAS INDONESIA","PT Puri Sentul Permai Tbk (KDTN)",150,"09 Nov 2022","","https://www.e-ipo.co.id/id/ipo/157/kdtn-pt-puri-sentul-permai-tbk"
"PDPP","MG - SEMESTA INDOVEST SEKURITAS","PT Primadaya Plastisindo Tbk (PDPP)",200,"09 Nov 2022","","https://www.e-ipo.co.id/id/ipo/150/pdpp-pt-primadaya-plastisindo-tbk"
"MKTR","II - DANATAMA MAKMUR SEKURITAS","PT Menthobi Karyatama Raya Tbk (MKTR)",120,"08 Nov 2022","","https://www.e-ipo.co.id/id/ipo/138/mktr-pt-menthobi-karyatama-raya-tbk"
"BELI","OD - BRI DANAREKSA SEKURITAS","PT Global Digital Niaga Tbk (BELI)",450,"08 Nov 2022","","https://www.e-ipo.co.id/id/ipo/152/beli-pt-global-digital-niaga-tbk"
"BSBK","SH - ARTHA SEKURITAS INDONESIA","PT Wulandari Bangun Laksana Tbk (BSBK)",100,"08 Nov 2022","","https://www.e-ipo.co.id/id/ipo/148/bsbk-pt-wulandari-bangun-laksana-tbk"
"CBUT","YP - MIRAE ASSET SEKURITAS INDONESIA","PT Citra Borneo Utama Tbk (CBUT)",690,"08 Nov 2022","","https://www.e-ipo.co.id/id/ipo/149/cbut-pt-citra-borneo-utama-tbk"
